"	Email",Address,Avatar,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Clean_Address_Loc,Clean_Address_County
aaron04@yahoo.com,"16338 Scott Corner Suite 727West Alexandra, AR 54429",SeaGreen,10.16,37.76,4.78,521.24,AR 54429,AR
aaron11@luna.com,"672 Jesus Roads Apt. 443Thompsonland, WY 69228",LightSkyBlue,13.46,37.24,2.94,503.98,WY 69228,WY
aaron22@gmail.com,"38678 Sean Drive Suite 293Karentown, IA 78306-2717",DarkGray,12.01,36.53,4.71,576.48,IA 78306-2717,IA
aaron89@gmail.com,"0128 Sampson Loop Suite 943Hoffmanton, MO 02122",SaddleBrown,10.1,38.04,4.24,418.6,MO 02122,MO
acampbell@sanchez-velasquez.info,"5791 Jessica CoveMckinneyborough, OK 64460-7536",Wheat,11.45,37.58,2.59,420.74,OK 64460-7536,OK
acontreras@hotmail.com,"88995 Edwards Row Suite 456North Jo, DE 02062-7953",Sienna,10.74,37.46,3.86,476.19,DE 02062-7953,DE
adam75@gmail.com,"9991 Macdonald SquaresVasquezborough, WY 73586-4597",Purple,10.97,36.61,2.87,404.82,WY 73586-4597,WY
adamperkins@terrell.com,"2595 James Creek Apt. 571Millerberg, HI 82236",PaleVioletRed,11.76,37.92,3.53,482.14,HI 82236,HI
afry@ford.biz,"399 Jeremy Skyway Suite 377North Keithville, IL 55074",PaleTurquoise,12.19,36.15,3.78,494.55,IL 55074,IL
agolden@yahoo.com,"PSC 2490, Box 2120APO AE 15445-2876",Black,12.88,37.44,1.56,419.94,Box 2120APO AE 15445-2876,Bo
alejandro75@hotmail.com,"64475 Andre Club Apt. 795Port Dannytown, PW 63227",Cyan,14.72,38.24,1.52,452.32,PW 63227,PW
alexandermichael@hotmail.com,"2086 Lisa ViewOrtegabury, MI 43544",WhiteSmoke,12.6,37.37,3.47,501.93,MI 43544,MI
alexandra26@summers-davis.com,"Unit 7032 Box 7016DPO ,AE 44749-2992",Navy,10.26,36.14,0.79,256.67,AE 44749-2992,AE
alicia28@fuller.com,"8055 Robinson Brooks Apt. 657Walterview, KY 83019",CadetBlue,11.48,39.24,3.53,445.75,KY 83019,KY
alicia85@lee.com,"14220 Carla Flat Suite 521Lake Matthew, DE 06183",DimGray,12.39,37.43,6.4,684.16,DE 06183,DE
allison80@carson-hansen.com,"04311 Oconnor Park Apt. 415Kelleystad, ND 63064-8935",ForestGreen,12.04,38.92,2.87,497.81,ND 63064-8935,ND
alvaradoadam@jones-thompson.com,"35970 Holly KeyPort Frank, VT 78059-9385",Aquamarine,10.96,37.33,3.58,440,VT 78059-9385,VT
alvareznancy@lucas.biz,"645 Martha Park Apt. 611Jeffreychester, MN 67218-7250",FloralWhite,12.03,34.48,5.49,637.1,MN 67218-7250,MN
amanda03@yahoo.com,"313 Lisa Loop Apt. 543North Jenniferchester, MN 58819",Brown,13.13,35.43,3.79,583.98,MN 58819,MN
amandadean@gmail.com,"66880 Mckinney HillsMatthewchester, MH 88386",DimGray,10.72,37.71,3,378.33,MH 88386,MH
amandastanley@yahoo.com,"38528 Jerry Valleys Suite 027Jonesstad, NY 74787-2691",CadetBlue,10.8,37.37,2.7,375.4,NY 74787-2691,NY
amberchase@fowler.info,"1867 Gregory Isle Suite 022Port Tammy, LA 52305-9696",GreenYellow,11.59,35.25,3.39,483.67,LA 52305-9696,LA
andreperez@hotmail.com,"17463 George PortsEast Julianborough, WY 68291",DarkOliveGreen,11.55,36.95,3.28,448.34,WY 68291,WY
andrew06@peterson.com,"26104 Alexander GrovesAlexandriaport, WY 28244-9149",Tomato,13.34,37.23,2.48,492.61,WY 28244-9149,WY
angela25@walker.com,"456 Eric ViewsNorth Amanda, MS 98876-3102",Chocolate,12.45,37.53,4.01,584.11,MS 98876-3102,MS
angelaphillips@gmail.com,"102 Karen CourtNew Jameston, SC 57761-6570",MintCream,11.96,36.63,4.11,516.83,SC 57761-6570,SC
anneingram@miller-alexander.com,"4301 Park Lake Apt. 158Spencertown, SD 45934",HoneyDew,11.61,39.25,3.35,443.44,SD 45934,SD
annstone@hotmail.com,"543 Reynolds BurgMelindaberg, KY 46631",LightPink,11.76,38.13,1.82,402.17,KY 46631,KY
anntaylor@hotmail.com,"PSC 1634, Box 8167APO AA 49814",Teal,11.92,36.84,3.63,518.79,Box 8167APO AA 49814,Bo
anthony09@hotmail.com,"5118 Madden Views Apt. 738North Barryport, AS 28731-2270",LightSeaGreen,12.53,37.88,2.48,449.07,AS 28731-2270,AS
antonioharris@hotmail.com,"4307 Nicholas Drive Apt. 259Ramirezberg, AS 59832",MediumBlue,13.47,37.07,2.38,492.56,AS 59832,AS
apark@walsh-obrien.net,"28942 Bradford CrescentNew Morganfurt, MD 77162-0478",DarkGreen,13.11,35.57,3.64,532.94,MD 77162-0478,MD
archeremily@baldwin.com,"USCGC HernandezFPO ,AE 53064",YellowGreen,13.27,36.97,2.27,421.33,AE 53064,AE
arice@reynolds.info,"740 Marshall SquaresDavidbury, AL 94251-0846",Thistle,12.24,37.28,2.53,466.42,AL 94251-0846,AL
arnoldsamuel@wilson.com,"949 Tapia ViaductMartinezfurt, CT 79271-8205",LightSkyBlue,11.37,35.26,4.03,502.77,CT 79271-8205,CT
aschmidt@johnson.biz,"Unit 1743 Box 8085DPO ,AE 47693-8164",Blue,11.73,35.63,4.33,513.15,AE 47693-8164,AE
ashleychristopher@gmail.com,"9271 Christopher PrairieDouglasshire, NM 18581",MediumOrchid,11.28,36.49,2.49,433.05,NM 18581,NM
ashleymoreno@gmail.com,"11430 Meza Green Suite 037Martinezborough, FL 40624-8726",DarkViolet,12.33,37.07,3.98,475.73,FL 40624-8726,FL
asilva@yahoo.com,"USNV JohnsonFPO, AP 19026",Wheat,12.21,33.91,6.92,744.22,AP 19026,AP
audreyguerrero@carey.com,"1995 Susan Locks Suite 760East Cheryl, AR 37103-5176",BlueViolet,13.72,35.77,2.91,558.43,AR 37103-5176,AR
audreyjohnson@rosales.com,"USCGC NicholsonFPO ,AE 43987-0470",SlateGray,13.52,36.77,4.13,611,AE 43987-0470,AE
austinthomas@gmail.com,"5855 Gross Burgs Suite 169Ballland, AS 98525",AntiqueWhite,11.19,36.3,4.3,535.32,AS 98525,AS
autumn88@mendoza-mills.com,"214 Obrien Lakes Suite 572South Jeremy, KS 52867-7617",MediumOrchid,12.48,35.54,3.39,497.39,KS 52867-7617,KS
awatkins@yahoo.com,"Unit 6538 Box 8980DPO ,AP 09026-4941",Aqua,12.35,37.37,4.43,549.9,AP 09026-4941,AP
awerner@manning.com,"407 Blake WaysPort Davidland, WA 78438",Gray,11.67,37.84,2.73,442.72,WA 78438,WA
awu@robinson.org,"0281 Dale Wells Suite 656East Joshua, ME 73389",Brown,13.15,37.65,4.2,561.87,ME 73389,ME
bakerdrew@gmail.com,"39637 Griffin Plain Suite 691New Deborahview, MP 73870-3773",Chartreuse,13.45,38.5,3.32,549.01,MP 73870-3773,MP
baldwinbryan@estrada-silva.biz,"1470 Kathleen PassSouth Christopherberg, SD 22850",MediumSeaGreen,12.38,38.76,3.84,536.13,SD 22850,SD
beasleyjoseph@hotmail.com,"1094 Bentley ForgesLake Antonio, MA 29181-3664",SaddleBrown,10.97,35.97,2.63,403.77,MA 29181-3664,MA
beckycarson@jones-brown.biz,"78787 Mitchell LightsMatthewville, AZ 30310-0130",Gold,12.88,36.23,5.01,628.05,AZ 30310-0130,AZ
beth76@yahoo.com,"4522 Paul Heights Suite 851Adamsland, RI 08981",Crimson,11.66,36.05,4,515.83,RI 08981,RI
